Name,Title,Department
Roberto Viola,Director-General,"('Thierry Breton',)"
Daniel Calleja Crespo,Director-General,"('Virginijus Sinkevičius',)"
Daniel Braun,Cabinet member,"('Věra Jourová',)"
Renate Nikolay,Cabinet member,"('Věra Jourová',)"
Věra Jourová,Vice-President,"('Věra Jourová',)"
Timo Pesonen,Acting Director-General,"('Thierry Breton',)"
Pia Ahrenkilde Hansen,Director-General,"('Ursula von der Leyen',)"
Joost Korte,Director-General,"('Nicolas Schmit',)"
Sibylle Bikar,Cabinet member,"('Johannes Hahn',)"
Margrethe Vestager,Executive Vice-President,"('Margrethe Vestager',)"
Riccardo Maggi,Cabinet member,"('Frans Timmermans',)"
Antoine Colombani,Cabinet member,"('Frans Timmermans',)"
Jean-Eric Paquet,Director-General,"('Iliana Ivanova',)"
Phil Hogan,Commissioner,"('Phil Hogan',)"
Mariya Gabriel,Commissioner,"('Mariya Gabriel',)"
Johannes Hahn,Commissioner,"('Johannes Hahn',)"
Ditte Juul Jørgensen,Director-General,"('Kadri Simson',)"
Diederik Samsom,Cabinet member,"('Frans Timmermans',)"
Anthony Whelan,Cabinet member,"('Ursula von der Leyen',)"
Valdis Dombrovskis ,Executive Vice-President,"('Valdis Dombrovskis',)"
Andrea Beltramello,Cabinet member,"('Valdis Dombrovskis',)"
Olivier Guersent,Director-General,"('Mairead Mcguinness',)"
Kurt Vandenberghe,Cabinet member,"('Ursula von der Leyen',)"
Nicolas Schmit,Commissioner,"('Nicolas Schmit',)"
Antoine Kasel,Cabinet member,"('Nicolas Schmit',)"
Santina Bertulessi,Cabinet member,"('Nicolas Schmit',)"
Anouk Faber,Cabinet member,"('Nicolas Schmit',)"
Henrik Hololei,Director-General,"('Adina Vălean',)"
Natasha Bertaud,Cabinet member,"('Margaritis Schinas',)"
Margaritis Schinas,Vice-President,"('Margaritis Schinas',)"
Frans Timmermans,Executive Vice-President,"('Frans Timmermans',)"
Virginijus Sinkevičius,Commissioner,"('Virginijus Sinkevičius',)"
Geneviève Tuts,Cabinet member,"('Didier Reynders',)"
Lucrezia Busa,Cabinet member,"('Didier Reynders',)"
Dermot Ryan,Cabinet member,"('Phil Hogan',)"
Anne Bucher,Director-General,"('Stella Kyriakides',)"
Camilla Bursi,Cabinet member,"('Virginijus Sinkevičius',)"
Themis Christophidou,Director-General,"('Iliana Ivanova',)"
Daniel Braun,Cabinet member,"('Margaritis Schinas', 'Věra Jourová')"
Věra Jourová,Vice-President,"('Margaritis Schinas', 'Věra Jourová')"
Margaritis Schinas,Vice-President,"('Margaritis Schinas', 'Věra Jourová')"
