,Name of cabinet,Name of DG,EC member,Title of EC representative,Date,TR ID,Name of interest representative,Location,Subject
2,['Cabinet of Vice-President Věra Jourová'],[],"('Daniel Braun', 'Renate Nikolay', 'Věra Jourová')","('Cabinet member', 'Cabinet member', 'Vice-President')",12/02/19,"('28666427835-74',)",Meta Platforms Ireland Limited and its various subsidiaries,"Brussels, Belgium","code of practice, gdpr"
3,[],"['Communications Networks, Content and Technology']","('Roberto Viola',)","('Director-General',)",12/02/19,"('28666427835-74',)",Meta Platforms Ireland Limited and its various subsidiaries,Brussels,platforms and dsa
18,['Cabinet of President Ursula von der Leyen'],[],"('Anthony Whelan',)","('Cabinet member',)",12/03/19,"('28666427835-74',)",Meta Platforms Ireland Limited and its various subsidiaries,"Brussels, Belgium","advertising, data, artificial intelligence, illegal content and disinformation"
19,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Valdis Dombrovskis ', 'Andrea Beltramello')","('Executive Vice-President', 'Cabinet member')",12/03/19,"('28666427835-74',)",Meta Platforms Ireland Limited and its various subsidiaries,"Brussels, Belgium","crytpo-assets, including stablecoins"
48,[],"['Communications Networks, Content and Technology']","('Roberto Viola',)","('Director-General',)",12/04/19,"('8999533555-91',)",Robert Bosch GmbH,Brussels,ai - data economy
49,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Margrethe Vestager',)","('Executive Vice-President',)",12/04/19,"('8999533555-91',)",Robert Bosch GmbH,Brussels,meeting with ceo of bosch
50,['Cabinet of Commissioner Mariya Gabriel'],[],"('Mariya Gabriel',)","('Commissioner',)",12/04/19,"('8999533555-91',)",Robert Bosch GmbH,Brussels,research and innovation
106,['Cabinet of Commissioner Mariya Gabriel'],[],"('Mariya Gabriel',)","('Commissioner',)",12/11/19,"('2732167674-76',)",Airbus,Brussels ,horizon europe and the aviation sector
107,"['Cabinet of Commissioner Nicolas Schmit', 'Cabinet of Commissioner Nicolas Schmit']",[],"('Antoine Kasel', 'Christoph Nerlich', 'Anouk Faber', 'Santina Bertulessi', 'Antoine Kasel', 'Nicolas Schmit')","('Cabinet member', 'Cabinet member', 'Cabinet member', 'Cabinet member', 'Cabinet member', 'Commissioner')",12/11/19,"('2732167674-76',)",Airbus,Brussels,skills
108,['Cabinet of Commissioner Phil Hogan'],[],"('Phil Hogan', 'Cristina Rueda Catry', 'Agnieszka Drzewoska')","('Commissioner', 'Cabinet member', 'Cabinet member')",12/11/19,"('2732167674-76',)",Airbus,Brussels,state of play of the latest development of the airbus/boeing litigation
109,['Cabinet of Commissioner Jutta Urpilainen'],[],"('Arto Virtanen', 'Jutta Urpilainen')","('Cabinet member', 'Commissioner')",12/11/19,"('508695011366-29', '907583825189-14')","The Central Organisation of Finnish Trade Unions SAK,STTK ry",Brussels,development policy
110,[],"['Employment, Social Affairs and Inclusion']","('Joost Korte',)","('Director-General',)",12/11/19,"('508695011366-29', '907583825189-14')","The Central Organisation of Finnish Trade Unions SAK,STTK ry",Brussels,meeting with sak and sttk
111,['Cabinet of Commissioner Nicolas Schmit'],[],"('Nicolas Schmit', 'Antoine Kasel', 'Santina Bertulessi', 'Ana Carla  Pereira', 'Anouk Faber')","('Commissioner', 'Cabinet member', 'Cabinet member', 'Cabinet member', 'Cabinet member')",12/11/19,"('508695011366-29', '907583825189-14')","The Central Organisation of Finnish Trade Unions SAK,STTK ry",Brussels,minimum wage and collective bargaining
116,['Cabinet of Vice-President Věra Jourová'],[],"('Daniel Braun',)","('Cabinet member',)",12/11/19,"('7721359944-96',)",IBM Corporation,"Brussels, Belgium",conference on digital europe
117,['Cabinet of Commissioner Mariya Gabriel'],[],"('Adrienn Kiraly',)","('Cabinet member',)",12/11/19,"('7721359944-96',)",IBM Corporation,Brussels,horizon europe - digital industry and digital education
118,['Cabinet of Commissioner Phil Hogan'],[],"('Agnieszka Drzewoska', 'Cristina Rueda Catry', 'Phil Hogan')","('Cabinet member', 'Cabinet member', 'Commissioner')",12/11/19,"('7721359944-96',)",IBM Corporation,Brussels,presentation of ibm's point of view on digital trade and the priorities of the new commission
124,['Cabinet of Commissioner Kadri Simson'],[],"('Stefano Grassi', 'Kitti Nyitrai', 'Kadri Simson')","('Cabinet member', 'Cabinet member', 'Commissioner')",12/11/19,"('923424020779-19',)",Rasmussen Global,Brussels,"european green deal, energy security"
125,['Cabinet of High Representative Josep Borrell Fontelles'],[],"('Josep Borrell Fontelles',)","('High Representative',)",12/11/19,"('923424020779-19',)",Rasmussen Global,Brussels,security and defence issues
137,[],['Mobility and Transport'],"('Henrik Hololei',)","('Director-General',)",12/12/19,"('614220318268-60',)",EU-ASEAN Business Council,"Brussels, Belgium",eu-asean cooperation
138,['Cabinet of Commissioner Phil Hogan'],[],"('Dermot Ryan', 'Phil Hogan')","('Cabinet member', 'Commissioner')",12/12/19,"('614220318268-60',)",EU-ASEAN Business Council,Brussels,trade issues
241,[],['Climate Action'],"('Mauro Raffaele Petriccione',)","('Director-General',)",01/13/20,"('291219715847-52',)",easyJet,Brussels,developments for the aviation sector
242,[],['Taxation and Customs Union'],"('Stephen Quest',)","('Director-General',)",01/13/20,"('291219715847-52',)",easyJet,"Brussels, Belgium",sustainability in aviation
256,['Cabinet of Commissioner Stella Kyriakides'],[],"('Roberto Reig Rodrigo',)","('Cabinet member',)",01/14/20,"('1414929419-24',)",WWF European Policy Programme,Brussels,discussion on discussion on eu biodiversity policy
257,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Helena Braun',)","('Cabinet member',)",01/14/20,"('1414929419-24',)",WWF European Policy Programme,Brussels,discussion on eu biodiversity policy
268,[],['Mobility and Transport'],"('Henrik Hololei',)","('Director-General',)",01/15/20,"('283792032249-12',)",SOCIETE DES GRANDS PROJETS,"Brussels, Belgium",grand paris express
269,['Cabinet of Commissioner Adina Vălean'],[],"('Pablo Fabregas Martinez',)","('Cabinet member',)",01/15/20,"('283792032249-12',)",SOCIETE DES GRANDS PROJETS,Brussels,transports
293,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Aleksandra Tomczak',)","('Cabinet member',)",01/16/20,"('64869491516-70',)",Stichting European Climate Foundation,Brussels,coal phase out study discussion
294,['Cabinet of Commissioner Kadri Simson'],[],"('Helena Hinto',)","('Cabinet member',)",01/16/20,"('64869491516-70',)",Stichting European Climate Foundation,Brussels,"introduction of a study on just transition in coal phase-out in bg, ro, el"
322,[],"['Internal Market, Industry, Entrepreneurship and SMEs', 'Defence Industry and Space']","('Timo Pesonen', 'Timo Pesonen')","('Acting Director-General', 'Director-General')",01/17/20,"('977869932377-59',)",European Association of Research and Technology Organisations,Brussels,exchange of views on horizon 2020
323,[],['Research and Innovation'],"('Jean-Eric Paquet',)","('Director-General',)",01/17/20,"('977869932377-59',)",European Association of Research and Technology Organisations,Brussels,recommendations for european rdandi policy post-2020
325,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Margrethe Vestager',)","('Executive Vice-President',)",01/20/20,"('03181945560-59',)",Google,Brussels,digital policy
326,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Frans Timmermans',)","('Executive Vice-President',)",01/20/20,"('03181945560-59',)",Google,Brussels,opportunities and responsibility of digital technology for green deal
328,['Cabinet of Executive Vice-President Margrethe Vestager'],[],"('Margrethe Vestager',)","('Executive Vice-President',)",01/20/20,"('0801162959-21',)",Microsoft Corporation,Brussels,digital policy
329,['Cabinet of Vice-President Věra Jourová'],[],"('Renate Nikolay', 'Věra Jourová', 'Wojtek Talko', 'Daniel Braun')","('Cabinet member', 'Vice-President', 'Cabinet member', 'Cabinet member')",01/20/20,"('0801162959-21',)",Microsoft Corporation,"Brussels, Belgium","disinformation, artificial intelligence"
330,"['Cabinet of Commissioner Didier Reynders', 'Cabinet of Commissioner Didier Reynders']",[],"('Didier Reynders', 'Isabelle Perignon', 'Lucrezia Busa')","('Commissioner', 'Cabinet member', 'Cabinet member')",01/20/20,"('0801162959-21',)",Microsoft Corporation,Brussels,"e-evidence, ai"
331,['Cabinet of Commissioner Ylva Johansson'],[],"('Ylva Johansson', 'Tom Snels', 'Monika Maglione')","('Commissioner', 'Cabinet member', 'Cabinet member')",01/20/20,"('0801162959-21',)",Microsoft Corporation,Brussels ,"eu internal security: challenges ahead and law enforcement cooperation, perspectives from the industry."
356,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Antoine Colombani',)","('Cabinet member',)",01/21/20,"('09245221105-30',)",Fédération bancaire française,Brussels,discussion on sustainable finance
357,['Cabinet of Commissioner Paolo Gentiloni'],[],"('Alienor Margerit',)","('Cabinet member',)",01/21/20,"('09245221105-30',)",Fédération bancaire française,"Brussels, BE",fr banks and energy transition
361,['Cabinet of President Ursula von der Leyen'],[],"('Anthony Whelan',)","('Cabinet member',)",01/21/20,"('1771817758-48',)",Bundesverband der Deutschen Industrie e.V.,"Brussels, Belgium","5g, artificial intelligence, secure data"
362,[],"['Communications Networks, Content and Technology']","('Roberto Viola',)","('Director-General',)",01/21/20,"('1771817758-48',)",Bundesverband der Deutschen Industrie e.V.,Brussels,"challenges facing new commission, ai, digital soverignty, connectivity and cloud"
363,['Cabinet of Commissioner Didier Reynders'],[],"('Geneviève Tuts',)","('Cabinet member',)",01/21/20,"('1771817758-48',)",Bundesverband der Deutschen Industrie e.V.,Brussels,commissioner reynders' priorities
369,[],"['Internal Market, Industry, Entrepreneurship and SMEs', 'Defence Industry and Space']","('Timo Pesonen', 'Timo Pesonen')","('Acting Director-General', 'Director-General')",01/21/20,"('2732167674-76',)",Airbus,Brussels,exchange of views on eu space regulation
370,[],"['Communications Networks, Content and Technology']","('Roberto Viola',)","('Director-General',)",01/21/20,"('2732167674-76',)",Airbus,Brussels,quantum communication infrastructure and ai/data economy
379,['Cabinet of Executive Vice-President Valdis Dombrovskis'],[],"('Ruth Paserman', 'Elina Melngaile')","('Cabinet member', 'Cabinet member')",01/21/20,"('3978240953-79',)",BUSINESSEUROPE,Brussels,"eu - china strategy, development cooperation"
380,['Cabinet of Commissioner Kadri Simson'],[],"('Kadri Simson', 'Stefano Grassi', 'Thor-Sten Vertmann')","('Commissioner', 'Cabinet member', 'Cabinet member')",01/21/20,"('3978240953-79',)",BUSINESSEUROPE,Brussels,"eu industrial competitiveness, carbon pricing mechanism"
408,['Cabinet of Commissioner Nicolas Schmit'],[],"('Nicolas Schmit', 'Antoine Kasel')","('Commissioner', 'Cabinet member')",01/22/20,"('002278013515-26',)",Uber,Davos,skills agenda/platform workers
409,['Cabinet of Commissioner Adina Vălean'],[],"('Pablo Fabregas Martinez',)","('Cabinet member',)",01/22/20,"('002278013515-26',)",Uber,Brussels,transports
410,['Cabinet of Commissioner Helena Dalli'],[],"('Neil Kerr',)","('Cabinet member',)",01/22/20,"('002278013515-26',)",Uber,"Brussels, Belgium",uber's actions in diversity and safety
428,['Cabinet of Executive Vice-President Frans Timmermans'],[],"('Daniel Mes',)","('Cabinet member',)",01/22/20,"('389561426715-93',)",Freight Transport Association Ireland,Brussels,green deal and road transport
