,Date,TR ID,Subject_1,Subject_2,Ratio
2,2020-01-21,"('2732167674-76',)",exchange of views on eu space regulation,exchange of views on eu space regulation,100.0
0,2020-01-22,"('648584214179-94',)",exchange of views on space industry,exchange of views on space industry,100.0
0,2024-05-08,"('12383069253-19',)","author's rights, neighbouring rights, creative industries in the context of ai, representation of artists from balkan countries in international and european festivals.","author's rights, neighbouring rights, creative industries in the context of ai, representation of artists from balkan countries in international and european festivals.",100.0
0,2020-01-10,"('7574621118-27',)",railways,railways,100.0
2,2024-06-27,"('496227428572-68',)",rule of law,rule of law,100.0
0,2024-07-02,"('917204122840-28',)",discussion on competitiveness and green deal,discussion on competitiveness and green deal,100.0
4,2020-01-20,"('0801162959-21',)","e-evidence, ai","e-evidence, ai",100.0
1,2024-06-20,"('7459401905-60',)",discussion discussion on semiconductors situation in europe and matters related to the competition portfolio situation in europe and matters related to the competition portfolio,discussion on semiconductors situation in europe and matters related to the competition portfolio,100.0
0,2020-01-08,"('2732167674-76',)",exchange of views on industrial policy,exchange of views on industrial policy,100.0
0,2024-06-10,"('988328349252-77',)",humanitarian situation in opt,humanitarian situation in opt,100.0
0,2023-02-06,"('33213703459-54',)",access to in-vehicle data,access to in-vehicle data,100.0
0,2023-02-08,"('22115995998-08',)",retail investment strategy,retail investment strategy,100.0
0,2023-01-31,"('394491614001-72',)",dsa implementation,dsa implementation,100.0
0,2023-02-01,"('33213703459-54',)",retail investment strategy,retail investment strategy,100.0
0,2023-02-01,"('4271427696-87',)","electricity market functioning, long-term decarbonisation goals and electricity electricity market functioning, long-term decarbonisation goals and electricity market design reform reform","electricity market functioning, long-term decarbonisation goals and electricity market design reform",100.0
0,2023-01-30,"('218282321469-11',)",european european media freedom act,european media freedom act,100.0
0,2021-07-12,"('27762251795-15',)",foreign subsidies,foreign subsidies,100.0
1,2023-01-18,"('903485248570-01',)",energy policies.,energy policies.,100.0
2,2023-01-18,"('903485248570-01',)",energy policies.,energy policies.,100.0
0,2023-01-18,"('625261439488-38', '96668093651-33')",green deal implementation on the fight against microplastic pollution,green deal implementation on the fight against microplastic pollution,100.0
0,2023-01-19,"('271912611231-56',)",retail investment strategy,retail investment strategy,100.0
0,2023-01-19,"('29967294656-11',)",hydrogen,hydrogen,100.0
0,2023-01-19,"('4271427696-87', '676889648373-61')",questions around the co-existence of biodiversity enhancement and renewable energy deployment..,questions around the co-existence of biodiversity enhancement and renewable energy deployment.,100.0
0,2021-06-17,"('3394026642-58',)",meeting to discuss the latest developments on clean fuels.,meeting to discuss the latest developments on clean fuels.,100.0
0,2021-06-21,"('630393933743-37',)",development of the european green deal monitoring system,development of the european green deal monitoring system,100.0
0,2021-06-04,"('937959014241-02',)",circular economy and the preparation of the eu textiles strategy,circular economy and the preparation of the eu textiles strategy,100.0
9,2023-01-18,"('64869491516-70',)","supporting work around a european response to the us ira, the need for a new investment wave in climate-friendly technologies and the upcoming electricity market design reform.","supporting work around a european response to the us ira, the need for a new investment wave in climate-friendly technologies and the upcoming electricity market design reform.",100.0
0,2023-01-18,"('903485248570-01',)",energy policies.,energy policies.,100.0
0,2021-06-09,"('962687110415-94',)",european green deal and the preparation of the eu forest strategy,european green deal and the preparation of the eu forest strategy,100.0
0,2021-06-01,"('010212710281-97',)","green economic transition, circular economy and packaging","green economic transition, circular economy and packaging",100.0
