TR Name,Category of registration,Degree,Hypercoreness_False,Hypercoreness_sub_False,Hypercoreness_True,Hypercoreness_sub_True,Hypercoreness_G_False,Hypercoreness_G_sub_False,Hypercoreness_G_True,Hypercoreness_G_sub_True,TR Country,Members FTE,Assets,Revenue,Nb employees,NACE,Level Sub-National,Level Global,Level European,Level National,Level Regional/Local
QUALCOMM Incorporated,Companies and groups,16.0,0.391357198617152,,0.0633515086230505,,0.388888888888889,,0.092,,UNITED STATES,2.95,51040000.0,35820000.0,50000.0,C - Manufacturing,0,1,0,0,0
International Union for Conservation of Nature EU Representative Office,"Non-governmental organisations, platforms and networks and similar",19.0,0.341986649460721,0.0879634245642023,0.0649641328608035,0.0182384322723583,0.416666666666667,0.125,0.092,0.0412371134020619,BELGIUM,2.5,,,,,1,1,1,1,0
Meta Platforms Ireland Limited and its various subsidiaries,Companies and groups,111.0,0.863656263442145,0.491232115259983,0.254529180557308,0.200987378146248,0.75,0.40625,0.364,0.278350515463918,IRELAND,18.45,15881292.0636606,59265267.0888162,2440.0,J - Information and communication,0,1,0,0,0
Teollisuuden Voima Oyj,Companies and groups,13.0,0.406094568975131,0.0296624956378683,0.0549830047261766,0.0216713964288959,0.388888888888889,0.03125,0.08,0.0515463917525773,FINLAND,0.75,9781805.2388072,418732.026697397,1031.0,"D - Electricity, gas, steam and air conditioning supply",0,0,0,1,0
European Movement International,"Non-governmental organisations, platforms and networks and similar",15.0,0.365795536013,0.389646376522592,0.0570854218808268,0.112099888223256,0.555555555555556,0.4375,0.12,0.216494845360825,BELGIUM,9.0,,,,,0,0,1,0,0
European Chemical Employers Group,Trade and business associations,7.0,0.250170944255923,0.461881200458647,0.0529500076662981,0.13268229571537,0.777777777777778,0.84375,0.156,0.278350515463918,BELGIUM,2.75,,,,,0,0,1,0,0
Konrad-Adenauer-Stiftung,"Non-governmental organisations, platforms and networks and similar",19.0,0.361882457901193,,0.057701809447896,,0.444444444444444,,0.08,,GERMANY,12.5,,,,,0,1,0,0,0
"Telefonica, S.A.",Companies and groups,55.0,0.863918335484077,0.661934792362531,0.196606194014324,0.233026475504164,0.833333333333333,0.75,0.284,0.381443298969072,SPAIN,5.5,116944101.091623,43402066.3762093,103651.0,J - Information and communication,0,1,1,1,0
TIM S.p.A.,Companies and groups,30.0,0.728622249836703,0.647244794522824,0.149494482885463,0.237001860185325,0.777777777777778,0.75,0.284,0.381443298969072,ITALY,4.0,,,,,1,1,1,1,0
European Telecommunications Network Operators' Association,Trade and business associations,23.0,0.670369768516306,0.574646459610815,0.125912037835127,0.19577023366374,0.75,0.625,0.22,0.278350515463918,BELGIUM,7.75,,,,,0,1,1,1,0
